experiment,description,seq_len,pred_len,subset,mae,rmse,mse
A1,patch-only internal features,24,1,blast_hours,,,
A1,patch-only internal features,24,1,non_event_hours,2.6149290732746522e-08,2.7548079441826935e-08,7.588966809332078e-16
A1,patch-only internal features,24,1,rain_hours,,,
A1,patch-only internal features,24,3,blast_hours,,,
A1,patch-only internal features,24,3,non_event_hours,9.23315468526198e-08,1.0471642322463124e-07,1.0965529292960088e-14
A1,patch-only internal features,24,3,rain_hours,,,
A1,patch-only internal features,24,6,blast_hours,,,
A1,patch-only internal features,24,6,non_event_hours,4.0666259337740485e-07,5.55753773281958e-07,3.0886225651713395e-13
A1,patch-only internal features,24,6,rain_hours,,,
A1,patch-only internal features,24,12,blast_hours,,,
A1,patch-only internal features,24,12,non_event_hours,8.690819299772556e-07,1.192879076334771e-06,1.4229604907572968e-12
A1,patch-only internal features,24,12,rain_hours,,,
A1,patch-only internal features,48,1,blast_hours,,,
A1,patch-only internal features,48,1,non_event_hours,2.2235635697143152e-05,2.22361364025192e-05,4.944457621114395e-10
A1,patch-only internal features,48,1,rain_hours,,,
A1,patch-only internal features,48,3,blast_hours,,,
A1,patch-only internal features,48,3,non_event_hours,0.00011022124090231955,0.00016703045987534487,2.789917452616919e-08
A1,patch-only internal features,48,3,rain_hours,,,
A1,patch-only internal features,48,6,blast_hours,,,
A1,patch-only internal features,48,6,non_event_hours,5.9005036746384576e-05,0.00011359796224629784,1.2904497026511308e-08
A1,patch-only internal features,48,6,rain_hours,,,
A1,patch-only internal features,48,12,blast_hours,6.6073516791220754e-06,7.647616778970967e-06,5.848604239799826e-11
A1,patch-only internal features,48,12,non_event_hours,3.450814983807504e-05,7.832329290029067e-05,6.134538210744722e-09
A1,patch-only internal features,48,12,rain_hours,,,
A1,patch-only internal features,96,1,blast_hours,,,
A1,patch-only internal features,96,1,non_event_hours,,,
A1,patch-only internal features,96,1,rain_hours,0.0,0.0,0.0
A1,patch-only internal features,96,3,blast_hours,,,
A1,patch-only internal features,96,3,non_event_hours,,,
A1,patch-only internal features,96,3,rain_hours,0.0,0.0,0.0
A1,patch-only internal features,96,6,blast_hours,,,
A1,patch-only internal features,96,6,non_event_hours,,,
A1,patch-only internal features,96,6,rain_hours,5.888512532692403e-06,1.0302653177891378e-05,1.061446625039153e-10
A1,patch-only internal features,96,12,blast_hours,3.0134393114167324e-07,3.4599861626633263e-07,1.197150424582169e-13
A1,patch-only internal features,96,12,non_event_hours,,,
A1,patch-only internal features,96,12,rain_hours,3.82112011720892e-06,7.5078087458220465e-06,5.6367192163842006e-11
A2,A1 + weather,24,1,blast_hours,,,
A2,A1 + weather,24,1,non_event_hours,2.0665726907509452e-08,2.104928250219766e-08,4.4307229385732463e-16
A2,A1 + weather,24,1,rain_hours,,,
A2,A1 + weather,24,3,blast_hours,,,
A2,A1 + weather,24,3,non_event_hours,1.2146110783817221e-08,1.6680979819344124e-08,2.7825508773336597e-16
A2,A1 + weather,24,3,rain_hours,,,
A2,A1 + weather,24,6,blast_hours,,,
A2,A1 + weather,24,6,non_event_hours,2.675676746832778e-08,3.558656215993444e-08,1.2664034063628775e-15
A2,A1 + weather,24,6,rain_hours,,,
A2,A1 + weather,24,12,blast_hours,,,
A2,A1 + weather,24,12,non_event_hours,3.629320488585108e-08,4.238805053626308e-08,1.7967468282647928e-15
A2,A1 + weather,24,12,rain_hours,,,
A2,A1 + weather,48,1,blast_hours,,,
A2,A1 + weather,48,1,non_event_hours,2.7114791123494797e-07,2.785760029530513e-07,7.760458942129844e-14
A2,A1 + weather,48,1,rain_hours,,,
A2,A1 + weather,48,3,blast_hours,,,
A2,A1 + weather,48,3,non_event_hours,1.2990511777388747e-07,1.7019283019631398e-07,2.896559945023136e-14
A2,A1 + weather,48,3,rain_hours,,,
A2,A1 + weather,48,6,blast_hours,,,
A2,A1 + weather,48,6,non_event_hours,7.992711914539541e-08,9.816029122434938e-08,9.63544277324908e-15
A2,A1 + weather,48,6,rain_hours,,,
A2,A1 + weather,48,12,blast_hours,5.052530482885231e-08,5.488900250726802e-08,3.0128025962428747e-15
A2,A1 + weather,48,12,non_event_hours,6.069500813055129e-08,7.620668920913e-08,5.80745948021693e-15
A2,A1 + weather,48,12,rain_hours,,,
A2,A1 + weather,96,1,blast_hours,,,
A2,A1 + weather,96,1,non_event_hours,,,
A2,A1 + weather,96,1,rain_hours,0.0,0.0,0.0
A2,A1 + weather,96,3,blast_hours,,,
A2,A1 + weather,96,3,non_event_hours,,,
A2,A1 + weather,96,3,rain_hours,0.0,0.0,0.0
A2,A1 + weather,96,6,blast_hours,,,
A2,A1 + weather,96,6,non_event_hours,,,
A2,A1 + weather,96,6,rain_hours,1.4890952115820255e-07,2.9118048279597877e-07,8.47860735612993e-14
A2,A1 + weather,96,12,blast_hours,7.904340293407586e-09,8.719768868151289e-09,7.60343691139804e-17
A2,A1 + weather,96,12,non_event_hours,,,
A2,A1 + weather,96,12,rain_hours,1.1931783205909596e-07,2.5641151840833564e-07,6.574686677246824e-14
A3,A2 + blast V2,24,1,blast_hours,,,
A3,A2 + blast V2,24,1,non_event_hours,2.0665726907509452e-08,2.104928250219766e-08,4.4307229385732463e-16
A3,A2 + blast V2,24,1,rain_hours,,,
A3,A2 + blast V2,24,3,blast_hours,,,
A3,A2 + blast V2,24,3,non_event_hours,1.2720023256918012e-08,1.6864359210276597e-08,2.844066115732411e-16
A3,A2 + blast V2,24,3,rain_hours,,,
A3,A2 + blast V2,24,6,blast_hours,,,
A3,A2 + blast V2,24,6,non_event_hours,2.6210908998791638e-08,3.477833761483255e-08,1.2095327672512765e-15
A3,A2 + blast V2,24,6,rain_hours,,,
A3,A2 + blast V2,24,12,blast_hours,,,
A3,A2 + blast V2,24,12,non_event_hours,3.9265806606181286e-08,4.924637729150439e-08,2.4252056763371995e-15
A3,A2 + blast V2,24,12,rain_hours,,,
A3,A2 + blast V2,48,1,blast_hours,,,
A3,A2 + blast V2,48,1,non_event_hours,2.7114791123494797e-07,2.785760029530513e-07,7.760458942129844e-14
A3,A2 + blast V2,48,1,rain_hours,,,
A3,A2 + blast V2,48,3,blast_hours,,,
A3,A2 + blast V2,48,3,non_event_hours,1.3937774667738267e-07,1.8380410702380738e-07,3.378394975881924e-14
A3,A2 + blast V2,48,3,rain_hours,,,
A3,A2 + blast V2,48,6,blast_hours,,,
A3,A2 + blast V2,48,6,non_event_hours,7.959014425296118e-08,9.09235803814197e-08,8.26709746937649e-15
A3,A2 + blast V2,48,6,rain_hours,,,
A3,A2 + blast V2,48,12,blast_hours,5.853947016021266e-08,6.072342479779546e-08,3.687334319173521e-15
A3,A2 + blast V2,48,12,non_event_hours,5.446381123874744e-08,7.30620057946548e-08,5.338056690738172e-15
A3,A2 + blast V2,48,12,rain_hours,,,
A3,A2 + blast V2,96,1,blast_hours,,,
A3,A2 + blast V2,96,1,non_event_hours,,,
A3,A2 + blast V2,96,1,rain_hours,0.0,0.0,0.0
A3,A2 + blast V2,96,3,blast_hours,,,
A3,A2 + blast V2,96,3,non_event_hours,,,
A3,A2 + blast V2,96,3,rain_hours,0.0,0.0,0.0
A3,A2 + blast V2,96,6,blast_hours,,,
A3,A2 + blast V2,96,6,non_event_hours,,,
A3,A2 + blast V2,96,6,rain_hours,1.1215816186904703e-07,2.0762981062922283e-07,4.311013826192693e-14
