experiment,description,seq_len,pred_len,feature_count,mae,rmse,mse
A1,patch-only internal features,24,1,10,2.6149290732746522e-08,2.7548079441826935e-08,7.588966809332078e-16
A1,patch-only internal features,24,3,10,9.23315468526198e-08,1.0471642322463124e-07,1.0965529292960088e-14
A1,patch-only internal features,24,6,10,4.0666259337740485e-07,5.55753773281958e-07,3.0886225651713395e-13
A1,patch-only internal features,24,12,10,8.690819299772556e-07,1.192879076334771e-06,1.4229604907572968e-12
A1,patch-only internal features,48,1,10,2.2235635697143152e-05,2.22361364025192e-05,4.944457621114395e-10
A1,patch-only internal features,48,3,10,0.00011022124090231955,0.00016703045987534487,2.789917452616919e-08
A1,patch-only internal features,48,6,10,5.9005036746384576e-05,0.00011359796224629784,1.2904497026511308e-08
A1,patch-only internal features,48,12,10,2.9858019843231887e-05,7.156720725459992e-05,5.12186515422286e-09
A1,patch-only internal features,96,1,10,0.0,0.0,0.0
A1,patch-only internal features,96,3,10,0.0,0.0,0.0
A1,patch-only internal features,96,6,10,5.888512532692403e-06,1.0302653177891378e-05,1.061446625039153e-10
A1,patch-only internal features,96,12,10,3.82112011720892e-06,7.5078087458220465e-06,5.6367192163842006e-11
A2,A1 + weather,24,1,14,2.0665726907509452e-08,2.104928250219766e-08,4.4307229385732463e-16
A2,A1 + weather,24,3,14,1.2146110783817221e-08,1.6680979819344124e-08,2.7825508773336597e-16
A2,A1 + weather,24,6,14,2.675676746832778e-08,3.558656215993444e-08,1.2664034063628775e-15
A2,A1 + weather,24,12,14,3.629320488585108e-08,4.238805053626308e-08,1.7967468282647928e-15
A2,A1 + weather,48,1,14,2.7114791123494797e-07,2.785760029530513e-07,7.760458942129844e-14
A2,A1 + weather,48,3,14,1.2990511777388747e-07,1.7019283019631398e-07,2.896559945023136e-14
A2,A1 + weather,48,6,14,7.992711914539541e-08,9.816029122434938e-08,9.63544277324908e-15
A2,A1 + weather,48,12,14,5.899997290725878e-08,7.308679974993109e-08,5.341680297686526e-15
A2,A1 + weather,96,1,14,0.0,0.0,0.0
A2,A1 + weather,96,3,14,0.0,0.0,0.0
A2,A1 + weather,96,6,14,1.4890952115820255e-07,2.9118048279597877e-07,8.47860735612993e-14
A2,A1 + weather,96,12,14,1.1931783205909596e-07,2.5641151840833564e-07,6.574686677246824e-14
A3,A2 + blast V2,24,1,21,2.0665726907509452e-08,2.104928250219766e-08,4.4307229385732463e-16
A3,A2 + blast V2,24,3,21,1.2720023256918012e-08,1.6864359210276597e-08,2.844066115732411e-16
A3,A2 + blast V2,24,6,21,2.6210908998791638e-08,3.477833761483255e-08,1.2095327672512765e-15
A3,A2 + blast V2,24,12,21,3.9265806606181286e-08,4.924637729150439e-08,2.4252056763371995e-15
A3,A2 + blast V2,48,1,21,2.7114791123494797e-07,2.785760029530513e-07,7.760458942129844e-14
A3,A2 + blast V2,48,3,21,1.3937774667738267e-07,1.8380410702380738e-07,3.378394975881924e-14
A3,A2 + blast V2,48,6,21,7.959014425296118e-08,9.09235803814197e-08,8.26709746937649e-15
A3,A2 + blast V2,48,12,21,5.514310785770249e-08,7.115431821989574e-08,5.0629370013381865e-15
A3,A2 + blast V2,96,1,21,0.0,0.0,0.0
A3,A2 + blast V2,96,3,21,0.0,0.0,0.0
A3,A2 + blast V2,96,6,21,1.1215816186904703e-07,2.0762981062922283e-07,4.311013826192693e-14
A3,A2 + blast V2,96,12,21,1.1158255119880778e-07,2.3884199922382193e-07,5.704550059323216e-14
A4,A2 + blast V3,24,1,18,2.0384725019084726e-08,2.0912073680684563e-08,4.3731482562637993e-16
A4,A2 + blast V3,24,3,18,6.506061911437655e-09,8.414228167892816e-09,7.079923566136089e-17
A4,A2 + blast V3,24,6,18,1.626489876116466e-08,2.215501255936346e-08,4.908445815055527e-16
A4,A2 + blast V3,24,12,18,3.288236882781348e-08,3.786720395999499e-08,1.43392513574786e-15
A4,A2 + blast V3,48,1,18,2.205017040068924e-07,2.2457926219442187e-07,5.0435845007790886e-14
A4,A2 + blast V3,48,3,18,8.117055472212087e-08,1.0206471013848939e-07,1.0417205055653859e-14
A4,A2 + blast V3,48,6,18,6.750948244871324e-08,8.378583363717017e-08,7.020065918275555e-15
A4,A2 + blast V3,48,12,18,4.077182325090689e-08,5.551753241743903e-08,3.0821964057213937e-15
A4,A2 + blast V3,96,1,18,0.0,0.0,0.0
A4,A2 + blast V3,96,3,18,0.0,0.0,0.0
A4,A2 + blast V3,96,6,18,7.839175708568291e-08,1.411233304938661e-07,1.9915794409680956e-14
A4,A2 + blast V3,96,12,18,6.359049109505577e-08,1.5893181051054427e-07,2.525932039215955e-14
