point_id,grid_x,grid_y,zone_id_v2,patch_id,mae,matched_flag
0,0,15,1,,,0
1,0,85,3,,,0
2,0,86,3,,,0
3,1,85,3,,,0
4,2,3,1,,,0
5,3,2,1,,,0
6,3,3,1,,,0
7,3,4,1,,,0
8,4,1,1,,,0
9,4,2,1,,,0
10,4,3,1,,,0
11,4,4,1,,,0
12,4,5,1,,,0
13,4,6,1,,,0
14,4,34,2,ps10_v2_p001,0.08209239691495895,1
15,5,0,1,,,0
16,5,1,1,,,0
17,5,2,1,,,0
18,5,3,1,,,0
19,5,6,1,,,0
20,5,34,2,ps10_v2_p001,0.08209239691495895,1
21,5,36,2,ps10_v2_p001,0.08209239691495895,1
22,6,0,1,,,0
23,6,1,1,,,0
24,6,4,1,,,0
25,6,51,2,ps10_v2_p003,0.08081436157226562,1
26,6,54,2,ps10_v2_p003,0.08081436157226562,1
27,7,0,1,,,0
28,7,2,1,,,0
29,7,3,1,,,0
30,7,4,1,,,0
31,7,5,1,,,0
32,7,7,1,,,0
33,7,35,2,ps10_v2_p001,0.08209239691495895,1
34,7,36,2,ps10_v2_p001,0.08209239691495895,1
35,7,37,2,ps10_v2_p001,0.08209239691495895,1
36,7,38,2,ps10_v2_p001,0.08209239691495895,1
37,7,51,2,ps10_v2_p003,0.08081436157226562,1
38,7,53,2,ps10_v2_p003,0.08081436157226562,1
39,7,54,2,ps10_v2_p003,0.08081436157226562,1
40,8,4,1,,,0
41,8,5,1,,,0
42,8,35,2,ps10_v2_p001,0.08209239691495895,1
43,8,36,2,ps10_v2_p001,0.08209239691495895,1
44,8,37,2,ps10_v2_p001,0.08209239691495895,1
45,8,38,2,ps10_v2_p001,0.08209239691495895,1
46,8,50,2,ps10_v2_p003,0.08081436157226562,1
47,8,51,2,ps10_v2_p003,0.08081436157226562,1
48,8,52,2,ps10_v2_p003,0.08081436157226562,1
49,8,53,2,ps10_v2_p003,0.08081436157226562,1
50,8,54,2,ps10_v2_p003,0.08081436157226562,1
51,9,5,1,,,0
52,9,6,1,,,0
53,9,35,2,ps10_v2_p001,0.08209239691495895,1
54,9,36,2,ps10_v2_p001,0.08209239691495895,1
55,9,37,2,ps10_v2_p001,0.08209239691495895,1
56,9,38,2,ps10_v2_p001,0.08209239691495895,1
57,9,39,2,ps10_v2_p001,0.08209239691495895,1
58,9,44,2,ps10_v2_p002,0.07254081964492798,1
59,9,47,2,ps10_v2_p002,0.07254081964492798,1
60,9,49,2,ps10_v2_p002,0.07254081964492798,1
61,9,50,2,ps10_v2_p003,0.08081436157226562,1
62,9,51,2,ps10_v2_p003,0.08081436157226562,1
63,9,54,2,ps10_v2_p003,0.08081436157226562,1
64,9,55,2,ps10_v2_p003,0.08081436157226562,1
65,10,30,2,ps10_v2_p001,0.08209239691495895,1
66,10,31,2,ps10_v2_p001,0.08209239691495895,1
67,10,32,2,ps10_v2_p001,0.08209239691495895,1
68,10,34,2,ps10_v2_p001,0.08209239691495895,1
69,10,35,2,ps10_v2_p001,0.08209239691495895,1
70,10,36,2,ps10_v2_p001,0.08209239691495895,1
71,10,37,2,ps10_v2_p001,0.08209239691495895,1
72,10,38,2,ps10_v2_p001,0.08209239691495895,1
73,10,39,2,ps10_v2_p001,0.08209239691495895,1
74,10,40,2,ps10_v2_p002,0.07254081964492798,1
75,10,41,2,ps10_v2_p002,0.07254081964492798,1
76,10,42,2,ps10_v2_p002,0.07254081964492798,1
77,10,44,2,ps10_v2_p002,0.07254081964492798,1
78,10,45,2,ps10_v2_p002,0.07254081964492798,1
79,10,46,2,ps10_v2_p002,0.07254081964492798,1
80,10,47,2,ps10_v2_p002,0.07254081964492798,1
81,10,48,2,ps10_v2_p002,0.07254081964492798,1
82,10,49,2,ps10_v2_p002,0.07254081964492798,1
83,10,50,2,ps10_v2_p003,0.08081436157226562,1
84,10,54,2,ps10_v2_p003,0.08081436157226562,1
85,10,55,2,ps10_v2_p003,0.08081436157226562,1
86,10,56,2,ps10_v2_p003,0.08081436157226562,1
87,11,13,2,,,0
88,11,30,2,ps10_v2_p001,0.08209239691495895,1
89,11,31,2,ps10_v2_p001,0.08209239691495895,1
90,11,32,2,ps10_v2_p001,0.08209239691495895,1
91,11,33,2,ps10_v2_p001,0.08209239691495895,1
92,11,34,2,ps10_v2_p001,0.08209239691495895,1
93,11,35,2,ps10_v2_p001,0.08209239691495895,1
94,11,36,2,ps10_v2_p001,0.08209239691495895,1
95,11,37,2,ps10_v2_p001,0.08209239691495895,1
96,11,38,2,ps10_v2_p001,0.08209239691495895,1
97,11,39,2,ps10_v2_p001,0.08209239691495895,1
98,11,40,2,ps10_v2_p002,0.07254081964492798,1
99,11,42,2,ps10_v2_p002,0.07254081964492798,1
100,11,44,2,ps10_v2_p002,0.07254081964492798,1
101,11,45,2,ps10_v2_p002,0.07254081964492798,1
102,11,46,2,ps10_v2_p002,0.07254081964492798,1
103,11,47,2,ps10_v2_p002,0.07254081964492798,1
104,11,48,2,ps10_v2_p002,0.07254081964492798,1
105,11,49,2,ps10_v2_p002,0.07254081964492798,1
106,11,50,2,ps10_v2_p003,0.08081436157226562,1
107,11,51,2,ps10_v2_p003,0.08081436157226562,1
108,11,53,2,ps10_v2_p003,0.08081436157226562,1
109,11,54,2,ps10_v2_p003,0.08081436157226562,1
110,11,55,2,ps10_v2_p003,0.08081436157226562,1
111,11,56,2,ps10_v2_p003,0.08081436157226562,1
112,12,31,2,ps10_v2_p001,0.08209239691495895,1
113,12,32,2,ps10_v2_p001,0.08209239691495895,1
114,12,33,2,ps10_v2_p001,0.08209239691495895,1
115,12,34,2,ps10_v2_p001,0.08209239691495895,1
116,12,35,2,ps10_v2_p001,0.08209239691495895,1
117,12,36,2,ps10_v2_p001,0.08209239691495895,1
118,12,37,2,ps10_v2_p001,0.08209239691495895,1
119,12,38,2,ps10_v2_p001,0.08209239691495895,1
120,12,39,2,ps10_v2_p001,0.08209239691495895,1
121,12,40,2,ps10_v2_p002,0.07254081964492798,1
122,12,41,2,ps10_v2_p002,0.07254081964492798,1
123,12,42,2,ps10_v2_p002,0.07254081964492798,1
124,12,43,2,ps10_v2_p002,0.07254081964492798,1
125,12,44,2,ps10_v2_p002,0.07254081964492798,1
126,12,45,2,ps10_v2_p002,0.07254081964492798,1
127,12,46,2,ps10_v2_p002,0.07254081964492798,1
128,12,47,2,ps10_v2_p002,0.07254081964492798,1
129,12,48,2,ps10_v2_p002,0.07254081964492798,1
130,12,49,2,ps10_v2_p002,0.07254081964492798,1
131,12,50,2,ps10_v2_p003,0.08081436157226562,1
132,12,51,2,ps10_v2_p003,0.08081436157226562,1
133,12,52,2,ps10_v2_p003,0.08081436157226562,1
134,12,53,2,ps10_v2_p003,0.08081436157226562,1
135,12,55,2,ps10_v2_p003,0.08081436157226562,1
136,12,56,2,ps10_v2_p003,0.08081436157226562,1
137,12,57,2,ps10_v2_p003,0.08081436157226562,1
138,12,68,2,,,0
139,13,30,2,ps10_v2_p001,0.08209239691495895,1
140,13,31,2,ps10_v2_p001,0.08209239691495895,1
141,13,32,2,ps10_v2_p001,0.08209239691495895,1
142,13,33,2,ps10_v2_p001,0.08209239691495895,1
143,13,34,2,ps10_v2_p001,0.08209239691495895,1
144,13,35,2,ps10_v2_p001,0.08209239691495895,1
145,13,36,2,ps10_v2_p001,0.08209239691495895,1
146,13,37,2,ps10_v2_p001,0.08209239691495895,1
147,13,38,2,ps10_v2_p001,0.08209239691495895,1
148,13,39,2,ps10_v2_p001,0.08209239691495895,1
149,13,40,2,ps10_v2_p002,0.07254081964492798,1
150,13,41,2,ps10_v2_p002,0.07254081964492798,1
151,13,42,2,ps10_v2_p002,0.07254081964492798,1
152,13,43,2,ps10_v2_p002,0.07254081964492798,1
153,13,44,2,ps10_v2_p002,0.07254081964492798,1
154,13,45,2,ps10_v2_p002,0.07254081964492798,1
155,13,46,2,ps10_v2_p002,0.07254081964492798,1
156,13,47,2,ps10_v2_p002,0.07254081964492798,1
157,13,48,2,ps10_v2_p002,0.07254081964492798,1
158,13,49,2,ps10_v2_p002,0.07254081964492798,1
159,13,50,2,ps10_v2_p003,0.08081436157226562,1
160,13,51,2,ps10_v2_p003,0.08081436157226562,1
161,13,52,2,ps10_v2_p003,0.08081436157226562,1
162,13,53,2,ps10_v2_p003,0.08081436157226562,1
163,13,54,2,ps10_v2_p003,0.08081436157226562,1
164,13,56,2,ps10_v2_p003,0.08081436157226562,1
165,13,57,2,ps10_v2_p003,0.08081436157226562,1
166,14,10,1,,,0
167,14,21,2,ps10_v2_p005,0.0877850353717804,1
168,14,28,2,ps10_v2_p005,0.0877850353717804,1
169,14,32,2,ps10_v2_p006,0.09389228373765945,1
170,14,33,2,ps10_v2_p006,0.09389228373765945,1
171,14,34,2,ps10_v2_p006,0.09389228373765945,1
