patch_variant,scope,patch_size,zone_id_v2,zone_name_v2,raw_patch_count,active_patch_count,sparse_patch_count,train_patch_count,excluded_train_patch_count,avg_points_per_patch,median_points_per_patch
background_excluded,zone,8,2,坡脚区,182,133,0,133,0,48.34586466165413,56.0
background_excluded,zone,8,3,坡中区,156,88,0,88,0,39.17045454545455,41.0
background_excluded,zone,8,4,平台区,125,98,0,98,0,52.10204081632653,60.0
background_excluded,zone,8,5,坡顶区,141,108,0,108,0,42.138888888888886,47.0
background_excluded,zone,10,2,坡脚区,134,93,0,93,0,69.13978494623656,82.0
background_excluded,zone,10,3,坡中区,118,70,0,70,0,49.24285714285714,46.0
background_excluded,zone,10,4,平台区,83,71,0,71,0,71.91549295774648,86.0
background_excluded,zone,10,5,坡顶区,99,73,0,73,0,62.342465753424655,69.0
single_background_patch,zone,8,1,稳定背景区,1,1,0,0,1,32.0,32.0
single_background_patch,zone,8,2,坡脚区,182,133,0,133,0,48.34586466165413,56.0
single_background_patch,zone,8,3,坡中区,156,88,0,88,0,39.17045454545455,41.0
single_background_patch,zone,8,4,平台区,125,98,0,98,0,52.10204081632653,60.0
single_background_patch,zone,8,5,坡顶区,141,108,0,108,0,42.138888888888886,47.0
single_background_patch,zone,10,1,稳定背景区,1,1,0,0,1,32.0,32.0
single_background_patch,zone,10,2,坡脚区,134,93,0,93,0,69.13978494623656,82.0
single_background_patch,zone,10,3,坡中区,118,70,0,70,0,49.24285714285714,46.0
single_background_patch,zone,10,4,平台区,83,71,0,71,0,71.91549295774648,86.0
single_background_patch,zone,10,5,坡顶区,99,73,0,73,0,62.342465753424655,69.0
