train_steps,val_steps,test_steps,total_steps,train_ratio,val_ratio,test_ratio,total_score,distribution_score,ratio_penalty,coverage_penalty,train_distribution_score,val_distribution_score,test_distribution_score,train_disp_mean_score,val_disp_mean_score,test_disp_mean_score,train_disp_max_score,val_disp_max_score,test_disp_max_score,train_active_ratio_score,val_active_ratio_score,test_active_ratio_score,train_start,train_end,val_start,val_end,test_start,test_end,train_blast_hours,val_blast_hours,test_blast_hours,train_rain_hours,val_rain_hours,test_rain_hours,train_missing_hours_in_range,val_missing_hours_in_range,test_missing_hours_in_range,candidate_rank,candidate_id,recommended
456,128,128,712,0.6404494382022472,0.1797752808988764,0.1797752808988764,0.3289686170553648,0.5403222269274807,0.019101123595505642,0.0,0.4286806477720664,0.7317127243356185,0.4605733086747572,0.6465642762428172,0.8028025907129389,0.6066775568330436,0.3479133571018846,0.6896671317886446,0.40952843469967015,0.29156430997149724,0.7026684505052719,0.36551393449155783,2024-06-01 00:00:00,2024-06-20 06:00:00,2024-06-20 07:00:00,2024-06-25 15:00:00,2024-06-25 16:00:00,2024-06-30 23:00:00,41,8,8,78,18,24,7,1,0,1,split_cand_01,1
449,135,128,712,0.6306179775280899,0.1896067415730337,0.1797752808988764,0.33300420799101166,0.5388553279250944,0.03876404494382024,0.0,0.450276116927937,0.7057165581725888,0.4605733086747572,0.6784736574574165,0.7925224182155622,0.6066775568330436,0.3512236179701442,0.6389461723048105,0.40952843469967015,0.32113107535625046,0.6856810839973938,0.36551393449155783,2024-06-01 00:00:00,2024-06-19 23:00:00,2024-06-20 00:00:00,2024-06-25 15:00:00,2024-06-25 16:00:00,2024-06-30 23:00:00,41,8,8,78,18,24,7,1,0,2,split_cand_02,0
456,121,135,712,0.6404494382022472,0.1699438202247191,0.1896067415730337,0.33337499537443505,0.5434527076465303,0.02921348314606742,0.0,0.4286806477720664,0.7505786540583085,0.451098821109216,0.6465642762428172,0.8185152915536643,0.5931561573040498,0.3479133571018846,0.7199320963355791,0.39103966926062755,0.29156430997149724,0.7132885742856819,0.36910063676297084,2024-06-01 00:00:00,2024-06-20 06:00:00,2024-06-20 07:00:00,2024-06-25 08:00:00,2024-06-25 09:00:00,2024-06-30 23:00:00,41,8,8,78,18,24,7,1,0,3,split_cand_03,0
456,114,142,712,0.6404494382022472,0.1601123595505618,0.199438202247191,0.33687009990407935,0.541084997967473,0.04887640449438202,0.0,0.4286806477720664,0.7803971026008755,0.4141772435294772,0.6465642762428172,0.8448949432081747,0.539656178055434,0.3479133571018846,0.7511820967425161,0.32843737111217847,0.29156430997149724,0.7451142678519352,0.3744381814208191,2024-06-01 00:00:00,2024-06-20 06:00:00,2024-06-20 07:00:00,2024-06-25 01:00:00,2024-06-25 02:00:00,2024-06-30 23:00:00,41,8,8,78,18,24,7,1,0,4,split_cand_04,0
449,128,135,712,0.6306179775280899,0.1797752808988764,0.1896067415730337,0.3388932260041294,0.5486703579469573,0.03876404494382024,0.0,0.450276116927937,0.7446361358037189,0.451098821109216,0.6784736574574165,0.8091831830543509,0.5931561573040498,0.3512236179701442,0.7083463434353239,0.39103966926062755,0.32113107535625046,0.7163788809214822,0.36910063676297084,2024-06-01 00:00:00,2024-06-19 23:00:00,2024-06-20 00:00:00,2024-06-25 08:00:00,2024-06-25 09:00:00,2024-06-30 23:00:00,41,8,8,78,18,24,7,1,0,5,split_cand_05,0
449,121,142,712,0.6306179775280899,0.1699438202247191,0.199438202247191,0.34150569013256415,0.5488109816816145,0.04887640449438202,0.0,0.450276116927937,0.781979584587429,0.4141772435294772,0.6784736574574165,0.8369609154821105,0.539656178055434,0.3512236179701442,0.759460660966027,0.32843737111217847,0.32113107535625046,0.7495171773141496,0.3744381814208191,2024-06-01 00:00:00,2024-06-19 23:00:00,2024-06-20 00:00:00,2024-06-25 01:00:00,2024-06-25 02:00:00,2024-06-30 23:00:00,41,8,8,78,18,24,7,1,0,6,split_cand_06,0
463,121,128,712,0.6502808988764045,0.1699438202247191,0.1797752808988764,0.3432452356951727,0.5366119096792203,0.010112359550561778,0.125,0.40625242640546366,0.7430099939574402,0.4605733086747572,0.6022445738708441,0.8138134958033323,0.6066775568330436,0.34286695965413244,0.7003005944083683,0.40952843469967015,0.2736457456914144,0.7149158916606199,0.36551393449155783,2024-06-01 00:00:00,2024-06-20 14:00:00,2024-06-20 15:00:00,2024-06-25 15:00:00,2024-06-25 16:00:00,2024-06-30 23:00:00,42,7,8,81,15,24,8,0,0,7,split_cand_07,0
441,142,129,712,0.6193820224719101,0.199438202247191,0.18117977528089887,0.3435820249280149,0.5471217269399499,0.06123595505617982,0.0,0.47259215863919996,0.7092373145930706,0.45953570758757917,0.7182800101393244,0.796507303292799,0.6072191541044881,0.35600510292825566,0.6424512170345273,0.4098981469339067,0.3434913628500198,0.6887534234518854,0.3614898217243426,2024-06-01 00:00:00,2024-06-19 15:00:00,2024-06-19 16:00:00,2024-06-25 14:00:00,2024-06-25 15:00:00,2024-06-30 23:00:00,41,8,8,77,19,24,7,1,0,8,split_cand_08,0
441,135,136,712,0.6193820224719101,0.1896067415730337,0.19101123595505617,0.34515837430200075,0.549748975896593,0.06123595505617982,0.0,0.47259215863919996,0.7290483043262106,0.44760646472436844,0.7182800101393244,0.8119464255000991,0.5875660398703205,0.35600510292825566,0.6716093164237109,0.3855928553879802,0.3434913628500198,0.703589171054822,0.3696604989148045,2024-06-01 00:00:00,2024-06-19 15:00:00,2024-06-19 16:00:00,2024-06-25 07:00:00,2024-06-25 08:00:00,2024-06-30 23:00:00,41,8,8,77,19,24,7,1,0,9,split_cand_09,0
441,128,143,712,0.6193820224719101,0.1797752808988764,0.20084269662921347,0.34904279900797436,0.5562230170732156,0.06123595505617982,0.0,0.47259215863919996,0.7829899554808745,0.41308693709957245,0.7182800101393244,0.8405971642089233,0.5368613092725684,0.35600510292825566,0.7526966499934136,0.3272370105710227,0.3434913628500198,0.7556760522402867,0.3751624914551262,2024-06-01 00:00:00,2024-06-19 15:00:00,2024-06-19 16:00:00,2024-06-25 00:00:00,2024-06-25 01:00:00,2024-06-30 23:00:00,41,8,8,77,19,24,7,1,0,10,split_cand_10,0
463,114,135,712,0.6502808988764045,0.1601123595505618,0.1896067415730337,0.3493334778181643,0.5385660959890753,0.029775280898876377,0.125,0.40625242640546366,0.7583470404525463,0.451098821109216,0.6022445738708441,0.8290743987158561,0.5931561573040498,0.34286695965413244,0.7212780362340706,0.39103966926062755,0.2736457456914144,0.7246886864077121,0.36910063676297084,2024-06-01 00:00:00,2024-06-20 14:00:00,2024-06-20 15:00:00,2024-06-25 08:00:00,2024-06-25 09:00:00,2024-06-30 23:00:00,42,7,8,81,15,24,8,0,0,11,split_cand_11,0
463,107,142,712,0.6502808988764045,0.1502808988764045,0.199438202247191,0.3531844779551962,0.5367915456556641,0.04943820224719098,0.125,0.40625242640546366,0.7899449670320515,0.4141772435294772,0.6022445738708441,0.8591354403620829,0.539656178055434,0.34286695965413244,0.749908275285394,0.32843737111217847,0.2736457456914144,0.7607911854486774,0.3744381814208191,2024-06-01 00:00:00,2024-06-20 14:00:00,2024-06-20 15:00:00,2024-06-25 01:00:00,2024-06-25 02:00:00,2024-06-30 23:00:00,42,7,8,81,15,24,8,0,0,12,split_cand_12,0
