experiment,description,model_name,seq_len,pred_len,feature_count,num_parameters,best_epoch,train_samples,val_samples,test_samples,val_mae,val_rmse,val_mse,test_mae,test_rmse,test_mse,checkpoint_path,history_path,prediction_val_path,prediction_test_path
A1,patch internal only,DLinear,24,12,10,611,7,421,117,117,0.06599681079387665,0.08559827882293727,0.007327065337449312,0.15273167192935944,0.4570732097437734,0.20891591906547546,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/checkpoints/A1_DLinear_best.pt,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/histories/A1_DLinear_history.csv,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A1_DLinear_val.npz,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A1_DLinear_test.npz
A1,patch internal only,LSTM,24,12,10,173679,6,421,117,117,0.04484058916568756,0.07309186450101014,0.005342420656234026,0.10407768934965134,0.45517364612758693,0.20718304812908173,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/checkpoints/A1_LSTM_best.pt,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/histories/A1_LSTM_history.csv,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A1_LSTM_val.npz,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A1_LSTM_test.npz
A1,patch internal only,PatchTST,24,12,10,18967,1,421,117,117,0.06925039738416672,0.08834334179524508,0.0078045460395514965,0.14178675413131714,0.46027264895805015,0.21185091137886047,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/checkpoints/A1_PatchTST_best.pt,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/histories/A1_PatchTST_history.csv,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A1_PatchTST_val.npz,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A1_PatchTST_test.npz
A1,patch internal only,STGCN,24,12,10,296069,6,421,117,117,0.04851886257529259,0.07503084365598854,0.005629627499729395,0.15001186728477478,0.49721459054181105,0.24722234904766083,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/checkpoints/A1_STGCN_best.pt,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/histories/A1_STGCN_history.csv,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A1_STGCN_val.npz,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A1_STGCN_test.npz
A1,patch internal only,TCN,24,12,10,170255,8,421,117,117,0.04064264893531799,0.0692213010748414,0.004791588522493839,0.15348054468631744,0.5002355318832067,0.25023558735847473,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/checkpoints/A1_TCN_best.pt,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/histories/A1_TCN_history.csv,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A1_TCN_val.npz,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A1_TCN_test.npz
A1,patch internal only,TimeFilter,24,12,10,23555,1,421,117,117,0.06881671398878098,0.08892136274386954,0.00790700875222683,0.15119048953056335,0.46475916181011706,0.21600107848644257,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/checkpoints/A1_TimeFilter_best.pt,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/histories/A1_TimeFilter_history.csv,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A1_TimeFilter_val.npz,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A1_TimeFilter_test.npz
A2,A1 + weather,DLinear,24,12,14,615,7,421,117,117,0.07886240631341934,0.09713204357113174,0.009434633888304234,0.1562807708978653,0.458002151421737,0.2097659707069397,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/checkpoints/A2_DLinear_best.pt,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/histories/A2_DLinear_history.csv,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A2_DLinear_val.npz,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A2_DLinear_test.npz
A2,A1 + weather,LSTM,24,12,14,173683,8,421,117,117,0.04303326830267906,0.07205673583530574,0.005192173179239035,0.10254345834255219,0.45488920096746877,0.2069241851568222,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/checkpoints/A2_LSTM_best.pt,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/histories/A2_LSTM_history.csv,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A2_LSTM_val.npz,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A2_LSTM_test.npz
A2,A1 + weather,PatchTST,24,12,14,18971,1,421,117,117,0.06758148968219757,0.08683439954390179,0.007540212944149971,0.1439387947320938,0.4549886263484287,0.20701465010643005,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/checkpoints/A2_PatchTST_best.pt,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/histories/A2_PatchTST_history.csv,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A2_PatchTST_val.npz,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A2_PatchTST_test.npz
A2,A1 + weather,STGCN,24,12,14,296073,5,421,117,117,0.07328004390001297,0.09558687643003892,0.009136850945651531,0.14933986961841583,0.470843788751064,0.22169387340545654,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/checkpoints/A2_STGCN_best.pt,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/histories/A2_STGCN_history.csv,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A2_STGCN_val.npz,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A2_STGCN_test.npz
A2,A1 + weather,TCN,24,12,14,170259,5,421,117,117,0.054929811507463455,0.08099466422396831,0.006560135632753372,0.16668204963207245,0.5128605458256358,0.2630259394645691,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/checkpoints/A2_TCN_best.pt,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/histories/A2_TCN_history.csv,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A2_TCN_val.npz,/Users/dc/Z研究生/time_series/Time-Series-Library/outputs/slopemine_v2/formal_round1/predictions/A2_TCN_test.npz
