experiment,description,model_name,split,subset,seq_len,pred_len,mae,rmse,mse
A1,patch internal only,DLinear,test,blast_hours,24,12,0.11664113402366638,0.17285308729458274,0.02987818978726864
A1,patch internal only,DLinear,test,non_event_hours,24,12,0.15310737490653992,0.4756905286013641,0.22628147900104523
A1,patch internal only,DLinear,test,rain_hours,24,12,0.15329882502555847,0.41671023339750396,0.1736474186182022
A1,patch internal only,DLinear,val,blast_hours,24,12,0.08001047372817993,0.11701235796314939,0.01369189191609621
A1,patch internal only,DLinear,val,non_event_hours,24,12,0.06335020810365677,0.08213861285624675,0.006746751721948385
A1,patch internal only,DLinear,val,rain_hours,24,12,0.07540547847747803,0.08869390571094829,0.007866608910262585
A1,patch internal only,LSTM,test,blast_hours,24,12,0.039475828409194946,0.05196932319653602,0.0027008105535060167
A1,patch internal only,LSTM,test,non_event_hours,24,12,0.10333020240068436,0.47536228255303775,0.22596929967403412
A1,patch internal only,LSTM,test,rain_hours,24,12,0.11813867092132568,0.41585655932393234,0.17293667793273926
A1,patch internal only,LSTM,val,blast_hours,24,12,0.07510633766651154,0.12444245524984669,0.015485924668610096
A1,patch internal only,LSTM,val,non_event_hours,24,12,0.04541743919253349,0.07235359945664381,0.005235043354332447
A1,patch internal only,LSTM,val,rain_hours,24,12,0.02737044170498848,0.035960951829145396,0.0012931900564581156
A1,patch internal only,PatchTST,test,blast_hours,24,12,0.07261715829372406,0.10195247807059991,0.010394307784736156
A1,patch internal only,PatchTST,test,non_event_hours,24,12,0.14430935680866241,0.4819437197903631,0.232269749045372
A1,patch internal only,PatchTST,test,rain_hours,24,12,0.14369241893291473,0.41314859118026936,0.17069175839424133
A1,patch internal only,PatchTST,val,blast_hours,24,12,0.08218894898891449,0.11712246123165944,0.013717670924961567
A1,patch internal only,PatchTST,val,non_event_hours,24,12,0.06959942728281021,0.08813634538159323,0.007768015377223492
A1,patch internal only,PatchTST,val,rain_hours,24,12,0.06116680055856705,0.07271539385636434,0.00528752850368619
A1,patch internal only,STGCN,test,blast_hours,24,12,0.038593728095293045,0.057505167347982354,0.0033068442717194557
A1,patch internal only,STGCN,test,non_event_hours,24,12,0.15752118825912476,0.5236310458695954,0.27418947219848633
A1,patch internal only,STGCN,test,rain_hours,24,12,0.14156416058540344,0.43490068543367627,0.18913860619068146
A1,patch internal only,STGCN,val,blast_hours,24,12,0.07895267754793167,0.13227585756903124,0.017496902495622635
A1,patch internal only,STGCN,val,non_event_hours,24,12,0.04694332182407379,0.07087534234071062,0.005023314151912928
A1,patch internal only,STGCN,val,rain_hours,24,12,0.04389680549502373,0.06147327535271097,0.0037789635825902224
A1,patch internal only,TCN,test,blast_hours,24,12,0.040780745446681976,0.06898325222026185,0.00475868908688426
A1,patch internal only,TCN,test,non_event_hours,24,12,0.16610044240951538,0.5303611050632541,0.281282901763916
A1,patch internal only,TCN,test,rain_hours,24,12,0.12520405650138855,0.42048187175846347,0.17680500447750092
A1,patch internal only,TCN,val,blast_hours,24,12,0.07265446335077286,0.1250427217791217,0.01563568226993084
A1,patch internal only,TCN,val,non_event_hours,24,12,0.0409356988966465,0.06780409765267172,0.004597395658493042
A1,patch internal only,TCN,val,rain_hours,24,12,0.024068834260106087,0.030651322074937395,0.0009395035449415445
A1,patch internal only,TimeFilter,test,blast_hours,24,12,0.08924388140439987,0.13653509884257573,0.01864183321595192
