experiment_id,branch_name,description,model_name,seq_len,pred_len,learning_rate,dropout,best_epoch,train_samples,val_samples,test_samples,num_parameters,feature_count,val_mae,val_rmse,val_mse,test_mae,test_rmse,test_mse,checkpoint_path,history_path,prediction_val_path,prediction_test_path
A2,main,MS-TimeFilter A2: internal + weather branch,MS-TimeFilter,96,12,0.0001,0.1,5,349,117,117,91214,25,0.061449985951185226,0.09024387904066208,0.008143957704305649,0.127768412232399,0.4488233069683333,0.20144236087799072,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/checkpoints/A2_main.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/histories/A2_main.csv,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/A2_main_val.npz,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/A2_main_test.npz
A3,main,MS-TimeFilter A3: A2 + blast V2 branch,MS-TimeFilter,96,12,0.0001,0.1,7,349,117,117,91214,25,0.07884127646684647,0.10327139870209444,0.010664981789886951,0.141596719622612,0.44996017968635316,0.20246416330337524,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/checkpoints/A3_main.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/histories/A3_main.csv,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/A3_main_val.npz,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/A3_main_test.npz
A4,blast_opt,MS-TimeFilter A4: A2 + blast V3 real-coordinate branch,MS-TimeFilter,96,12,0.0003,0.1,3,349,117,117,91214,25,0.06348022073507309,0.08749458570844222,0.007655302528291941,0.1366552710533142,0.44876704518347243,0.20139186084270477,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/checkpoints/A4_blast_opt.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/histories/A4_blast_opt.csv,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/A4_blast_opt_val.npz,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/A4_blast_opt_test.npz
A4,main,MS-TimeFilter A4: A2 + blast V3 real-coordinate branch,MS-TimeFilter,96,12,0.0001,0.1,8,349,117,117,91214,25,0.07316121459007263,0.09768438887508014,0.00954223982989788,0.1322188675403595,0.4495659854477499,0.20210957527160645,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/checkpoints/A4_main.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/histories/A4_main.csv,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/A4_main_val.npz,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/A4_main_test.npz
C1,blast_opt,MS-TimeFilter C1: A4 + PGGC,MS-TimeFilter,96,12,0.0003,0.1,1,349,117,117,91214,25,0.05830138176679611,0.0909379023529931,0.008269702084362507,0.11179964244365692,0.4508154480918532,0.20323456823825836,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/checkpoints/C1_blast_opt.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/histories/C1_blast_opt.csv,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/C1_blast_opt_val.npz,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/C1_blast_opt_test.npz
C1,main,MS-TimeFilter C1: A4 + PGGC,MS-TimeFilter,96,12,0.0001,0.1,5,349,117,117,91214,25,0.055783893913030624,0.08910283087363213,0.007939314469695091,0.12076932936906815,0.4516043138779049,0.20394645631313324,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/checkpoints/C1_main.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/histories/C1_main.csv,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/C1_main_val.npz,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/C1_main_test.npz
C2,blast_opt,MS-TimeFilter C2: C1 + EDDR,MS-TimeFilter,96,12,0.0003,0.1,3,349,117,117,91214,25,0.055840715765953064,0.08454333088584032,0.007147574797272682,0.12050262838602066,0.4495229934713792,0.2020709216594696,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/checkpoints/C2_blast_opt.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/histories/C2_blast_opt.csv,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/C2_blast_opt_val.npz,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/C2_blast_opt_test.npz
C2,main,MS-TimeFilter C2: C1 + EDDR,MS-TimeFilter,96,12,0.0001,0.1,8,349,117,117,91214,25,0.0501304566860199,0.0897828133878809,0.008060953579843044,0.10818710923194885,0.45238263056976796,0.20465004444122314,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/checkpoints/C2_main.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/histories/C2_main.csv,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/C2_main_val.npz,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/C2_main_test.npz
C3,blast_opt,MS-TimeFilter C3: C2 + PIR,MS-TimeFilter,96,12,0.0003,0.1,4,349,117,117,91214,25,0.052127037197351456,0.08892132084964906,0.007907001301646233,0.11041774600744247,0.451041578493998,0.20343850553035736,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/checkpoints/C3_blast_opt.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/histories/C3_blast_opt.csv,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/C3_blast_opt_val.npz,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/C3_blast_opt_test.npz
C3,main,MS-TimeFilter C3: C2 + PIR,MS-TimeFilter,96,12,0.0001,0.1,10,349,117,117,91214,25,0.052966322749853134,0.09025792871363893,0.008146493695676327,0.11297989636659622,0.4524399248309288,0.20470188558101654,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/checkpoints/C3_main.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/histories/C3_main.csv,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/C3_main_val.npz,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/ms_timefilter_v1/predictions/C3_main_test.npz
