experiment_id,branch_name,description,model_name,split,subset,seq_len,pred_len,mae,rmse,mse
C3,blast_opt,MS-TimeFilter C3: C2 + PIR,MS-TimeFilter,test,blast_hours,96,12,0.04407448321580887,0.055313575479590704,0.003059591632336378
C3,blast_opt,MS-TimeFilter C3: C2 + PIR,MS-TimeFilter,test,non_event_hours,96,12,0.11039390414953232,0.46995188489617723,0.2208547741174698
C3,blast_opt,MS-TimeFilter C3: C2 + PIR,MS-TimeFilter,test,rain_hours,96,12,0.12239060550928116,0.4167442567426144,0.1736757755279541
C3,blast_opt,MS-TimeFilter C3: C2 + PIR,MS-TimeFilter,val,blast_hours,96,12,0.08421681821346283,0.13843184503712191,0.019163375720381737
C3,blast_opt,MS-TimeFilter C3: C2 + PIR,MS-TimeFilter,val,non_event_hours,96,12,0.052101586014032364,0.08940816065691033,0.007993819192051888
C3,blast_opt,MS-TimeFilter C3: C2 + PIR,MS-TimeFilter,val,rain_hours,96,12,0.03742990270256996,0.04665375442068154,0.0021765728015452623
C3,main,MS-TimeFilter C3: C2 + PIR,MS-TimeFilter,test,blast_hours,96,12,0.04258456081151962,0.053565276477783294,0.002869238844141364
C3,main,MS-TimeFilter C3: C2 + PIR,MS-TimeFilter,test,non_event_hours,96,12,0.11319579929113388,0.47138617250589854,0.22220492362976074
C3,main,MS-TimeFilter C3: C2 + PIR,MS-TimeFilter,test,rain_hours,96,12,0.12488099187612534,0.41819692782765455,0.17488867044448853
C3,main,MS-TimeFilter C3: C2 + PIR,MS-TimeFilter,val,blast_hours,96,12,0.08860377222299576,0.14356955626421883,0.020612217485904694
C3,main,MS-TimeFilter C3: C2 + PIR,MS-TimeFilter,val,non_event_hours,96,12,0.05303981155157089,0.09065941946228374,0.008219130337238312
C3,main,MS-TimeFilter C3: C2 + PIR,MS-TimeFilter,val,rain_hours,96,12,0.03603319078683853,0.04406318750250937,0.001941564492881298
