,气温,湿度,风速,降雨量,爆破次数,总装药量,平均装药量,最大 PPV 估计,扰动指数,近 6h 爆破次数,近 24h 累积装药量
位移均值,-0.04634297159724682,-0.01986096031411135,-0.1500290739585283,0.00549949006945238,-0.016103910511285614,-0.016608357372998588,-0.017773696643665314,-0.016346551332961617,0.06344199625754134,0.022146822159773295,0.14616415973768612
位移标准差,-0.05063704274980933,-0.0367245871305734,-0.12004276370352722,0.006459895172084848,0.006710414050459818,0.006427301984134634,0.0052552052322589905,0.005910164185989583,0.06876914731380454,0.03327051202555977,0.1507593654831221
位移 95 分位,-0.0552469480602449,-0.030689018129963275,-0.13750578500616378,0.0013985183119897408,-0.004466962614154668,-0.005037651705700647,-0.006296081388166006,-0.005231743060722268,0.06971259178209104,0.028440155873678628,0.1498067682790702
位移最大值,-0.05103319194756994,-0.04520351357320722,-0.13286418588226817,-0.0020997105258980667,0.004492067912132436,0.00425216908571998,0.0030737714624743603,0.003524260272330388,0.06185066973685239,0.026376294598786727,0.1466456984525656
速度均值,0.06309911595505838,-0.07190311777296139,-0.00808835874283884,0.03706617715942584,-0.03943942850533344,-0.04062171511343214,-0.04268855657286642,-0.04119723130272034,0.05695260868243503,0.04854598695747934,0.014807452678227348
速度 95 分位,0.03895039257887025,-0.08927977131518156,-0.0775705103381552,0.024520205148149777,0.003628293724728447,0.002464607393289361,-0.0002476062833958565,0.001401287916189568,0.08746682227620502,0.06596583030785487,0.12800483051881337
加速度均值,0.029870422253903378,-0.04064421815926412,0.007623690997814428,0.012527015648489142,-0.02442138119518597,-0.026294366527330956,-0.027285088773866473,-0.024193439229378083,-0.0027427796969645007,0.012014171381505652,0.007490891033314534
加速度 95 分位,0.010888984398215383,-0.07160767482881762,-0.09128339258555912,-0.0008928671587621875,-0.004310767422375062,-0.0058241969533034555,-0.007864038558916821,-0.006914509805067809,0.04760601261564099,0.03546664824399974,0.14336499363053226
活跃点比例,-0.016098966592974665,0.007528855597819717,-0.10058992896468624,0.03762474962047885,-0.0300847898833794,-0.03027590863021954,-0.03136719638656757,-0.029912743224213546,0.04263440577434335,0.011882768354284522,0.12997300248081217
有效点比例,,,,,,,,,,,
