experiment,description,seq_len,pred_len,split,feature_count,sample_count,row_count,mae,rmse,mse
A1,patch-only internal features,24,1,test,10,128,39296,2.7030013782791684e-08,2.7645009333115913e-08,7.64246541028066e-16
A1,patch-only internal features,24,1,val,10,128,39296,2.7030013782791684e-08,2.7645009333115913e-08,7.64246541028066e-16
A1,patch-only internal features,24,3,test,10,126,38682,2.0070951123329905e-08,2.542630938177177e-08,6.464972087775751e-16
A1,patch-only internal features,24,3,val,10,126,38682,2.0070951123329905e-08,2.542630938177177e-08,6.464972087775751e-16
A1,patch-only internal features,24,6,test,10,123,37761,1.626655610209582e-08,1.902881530077255e-08,3.620958117509155e-16
A1,patch-only internal features,24,6,val,10,123,37761,1.626655610209582e-08,1.902881530077255e-08,3.620958117509155e-16
A1,patch-only internal features,24,12,test,10,117,35919,1.5905394334936318e-08,2.055356868390086e-08,4.2244918564383015e-16
A1,patch-only internal features,24,12,val,10,117,35919,1.5905394334936318e-08,2.055356868390086e-08,4.2244918564383015e-16
A1,patch-only internal features,48,1,test,10,128,39296,7.217188624508708e-08,8.032851229251634e-08,6.452669887128948e-15
A1,patch-only internal features,48,1,val,10,128,39296,7.217188624508708e-08,8.032851229251634e-08,6.452669887128948e-15
A1,patch-only internal features,48,3,test,10,126,38682,5.417239989924383e-08,6.069389798179276e-08,3.6837492522242676e-15
A1,patch-only internal features,48,3,val,10,126,38682,5.417239989924383e-08,6.069389798179276e-08,3.6837492522242676e-15
A1,patch-only internal features,48,6,test,10,123,37761,3.627682687579181e-08,4.543891162539411e-08,2.0646946897003764e-15
A1,patch-only internal features,48,6,val,10,123,37761,3.627682687579181e-08,4.543890929525201e-08,2.0646944779421396e-15
A1,patch-only internal features,48,12,test,10,117,35919,3.7583784973094225e-08,4.445701556897351e-08,1.976426233299953e-15
A1,patch-only internal features,48,12,val,10,117,35919,3.7583784973094225e-08,4.445697746325276e-08,1.976422845168164e-15
A1,patch-only internal features,96,1,test,10,128,39296,8.882640400997843e-08,9.382922828978553e-08,8.80392408145669e-15
A1,patch-only internal features,96,1,val,10,128,39296,8.882640400997843e-08,9.382922828978553e-08,8.80392408145669e-15
A1,patch-only internal features,96,3,test,10,126,38682,7.15733037282007e-08,7.839407793435406e-08,6.145631455177578e-15
A1,patch-only internal features,96,3,val,10,126,38682,7.15733037282007e-08,7.839407793435406e-08,6.145631455177578e-15
A1,patch-only internal features,96,6,test,10,123,37761,8.399991457963552e-08,8.961346347629996e-08,8.030572836218147e-15
A1,patch-only internal features,96,6,val,10,123,37761,8.399991457963552e-08,8.961346820233604e-08,8.030573683251094e-15
A1,patch-only internal features,96,12,test,10,117,35919,5.6744994481050526e-08,6.68470321059346e-08,4.4685257013718505e-15
A1,patch-only internal features,96,12,val,10,117,35919,5.6744994481050526e-08,6.684709229416677e-08,4.468533748184849e-15
A2,A1 + weather,24,1,test,14,128,39296,2.7030013782791684e-08,2.7645009333115913e-08,7.64246541028066e-16
A2,A1 + weather,24,1,val,14,128,39296,2.7030013782791684e-08,2.7645009333115913e-08,7.64246541028066e-16
A2,A1 + weather,24,3,test,14,126,38682,1.8043582628024524e-08,2.2595387674860834e-08,5.105515441772529e-16
A2,A1 + weather,24,3,val,14,126,38682,1.8043582628024524e-08,2.2595387674860834e-08,5.105515441772529e-16
A2,A1 + weather,24,6,test,14,123,37761,1.626655610209582e-08,1.902881530077255e-08,3.620958117509155e-16
A2,A1 + weather,24,6,val,14,123,37761,1.626655610209582e-08,1.902881530077255e-08,3.620958117509155e-16
A2,A1 + weather,24,12,test,14,117,35919,1.4878233756121517e-08,1.9005936381733726e-08,3.612256177465097e-16
A2,A1 + weather,24,12,val,14,117,35919,1.4878233756121517e-08,1.9005936381733726e-08,3.612256177465097e-16
A2,A1 + weather,48,1,test,14,128,39296,5.385961898696223e-08,5.5127744747126047e-08,3.0390682409042833e-15
A2,A1 + weather,48,1,val,14,128,39296,5.385961898696223e-08,5.5127744747126047e-08,3.0390682409042833e-15
A2,A1 + weather,48,3,test,14,126,38682,2.6966150201701566e-08,2.7593325578468163e-08,7.613916164793454e-16
A2,A1 + weather,48,3,val,14,126,38682,2.6966150201701566e-08,2.7593325578468163e-08,7.613916164793454e-16
A2,A1 + weather,48,6,test,14,123,37761,1.9487583102772987e-08,2.0734261191213204e-08,4.2990958714545e-16
A2,A1 + weather,48,6,val,14,123,37761,1.9487583102772987e-08,2.0734261191213204e-08,4.2990958714545e-16
